X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
4.5,4.5,92.2,99.125,745.375,9.05,19.975,32.25,4.35,0,1
4.5,3.5,92.2,102.3,751.5,8.4,23.8,27,3.55,0,0
6.5,3.5,90.2,81.8,732.95,6.25,16.8,59.5,4.5,0,37
3,4,85.4,7.3,24.45,2.9,10.75,41.5,2.45,0,0
3,5,88.1,25.7,67.6,3.8,15.5,27,6.3,0,0
4.4,4.6,91.86,85.22,696.58,8.44,21.02,45.2,3.74,0,0
4.75,3.75,91.975,101.35,749.975,8.75,10.7,75,3.15,0,3
4.181818182,5,91.32727273,126.3909091,686.0272727,7.409090909,17.90909091,52.36363636,2.827272727,0,0
3.666666667,4,91,129.5,692.6,7,19.96666667,38.5,2.366666667,0,0
6.75,4.5,94,83,688.75,16.9,24.55,24.75,4.25,0,0
6,4.545454545,86.9,81.9,290.7454545,7.436363636,18.81818182,48.90909091,3.545454545,0,0
2.5,2.75,92.425,118.7,669.6,11.3,19.975,32,4.825,0,0
6,4.333333333,91.2,275.4666667,823.1,7.3,14.36666667,75.33333333,7.733333333,0,11
5,4.5,93.4,86.55,695.45,11.5,18.8,50.5,6.3,0,0
3.666666667,4,92.23333333,240.5666667,735.8333333,7.966666667,18.4,63.33333333,3.866666667,0,0
4,5,18.7,1.1,171.4,0,5.2,100,0.9,0,0
1.857142857,3.428571429,92.42857143,156.8428571,738.8857143,7.671428571,23.35714286,42.85714286,4.342857143,0,0
4.583333333,4.166666667,92.13333333,145.7833333,606.9166667,11.275,20.85,40.58333333,4.816666667,0,0
3,4,94.6,160,567.2,16.7,17.9,48,2.7,0,0
3,4,91.46666667,73.73333333,398.5666667,7.233333333,25.2,40.66666667,1.633333333,0,1
4,4.666666667,92.9,135.7666667,704.1333333,9.2,20.56666667,17,1.166666667,0,0
3.666666667,4.666666667,94,131.1333333,597.0666667,18.63333333,17.46666667,57.66666667,4.6,0,0
2,2,94.8,108.3,647.1,17,24.6,22,4.5,0,8
2.5,4.5,91.25,200,657.2,12.2,11.1,81.5,2.9,0,0
6.5,4.833333333,91.81666667,97.31666667,478.0666667,10.43333333,21.7,38.33333333,3.15,0,0
3,3.5,94.5,139.4,689.1,20,29.05,29.5,4.9,0,49
3.8,4,93.06,137.94,708.04,11.08,21.58,39.2,2.96,0,0
3,4,69,2.4,15.5,0.7,17.4,24,5.4,0,0
6.5,5,93,95.05,449.85,10.2,18.2,53,5.4,0,7
3.5,3.8,89.92,98.59,628.46,7.01,19.84,38.1,3.34,0,0
7,4,88.2,55.2,732.3,11.6,15.2,64,3.1,0,0
4,6,84.7,26.7,352.6,4.1,2.2,59,4.9,0,9
6,5,63.5,70.8,665.3,0.8,17,72,6.7,0,0
4.833333333,5.333333333,91.71666667,199.0166667,654.0833333,7.816666667,24.5,39.5,3.5,0,2
1.5,2,91.7,114.3,661.3,6.3,19.4,44.5,4.05,0,0
4.6,4,78.74,3.82,12.98,2.4,6.6,74.2,3.5,0,0
2.5,3,85.1,70.75,367.5,9.15,19.05,57.5,5.55,0,0
4.8,4,91.6,97.6,746.16,9.72,17.46,54.4,4.56,0,7
5.2,4.9,94.3,126.19,578.66,11.61,21.67,41,4.1,0,1
4.666666667,4.166666667,88.26666667,48.96666667,681.4333333,5.8,21.3,29.66666667,3.133333333,0,0
4.5,4.5,91.7,35.8,80.8,7.8,15.275,27.25,5.375,0,0
4,3,91.7,114.3,661.3,6.3,17.6,45,3.6,0,0
3.5,4.166666667,91.88333333,127.1833333,800.9666667,9.633333333,18.51666667,39.83333333,3.05,0,28
3,3.333333333,92.73333333,163.7,678.3,13.66666667,21.4,56,2.366666667,0,6
4.6875,4.0625,89.60625,45.775,96.43125,7.81875,12.38125,39.5,5.025,0,8
4,6,84.6,26.4,352,2,5.1,61,4.9,0,5
8.5,6,91.6,248.4,753.8,6.3,20.45,57,2.45,0,0
4.5,4.25,92.9,134.225,701.3,9.2,26.2,22.75,3.8,0,88
4,4.4,92.94,110.02,554.78,11,26.48,30.4,5.54,0,0
5.666666667,4.333333333,89.26666667,56.8,688.0333333,8.466666667,16.93333333,44.66666667,3.866666667,0,6
4,4.142857143,91.25714286,84.17142857,730.9285714,8.071428571,20.01428571,41.14285714,2.742857143,0,4
3.75,3.5,94.8,108.3,647.1,17,17.625,46,4.35,0,1
5.2,4.6,83.36,8.54,55.02,2.9,10.12,51.6,4.02,0,4
1.5,3,91.15,99.8,516.7,11.05,17.7,68,2.45,0,0
5.5,4.25,91.95,99.525,748.275,9.375,18.3,45.5,3.25,0,1
6.5,4.5,85.15,11.925,44.675,3.025,8.125,67.75,3.35,0,0
5,4.4,92.44,119.36,784.58,7.96,21.16,27.6,4.38,0,4
2.5,4,91.8,175.1,700.7,13.8,24.6,46,6.95,0,0
4.333333333,4.333333333,94.43333333,226.8333333,706.8,11.43333333,20.83333333,46.66666667,3.566666667,0,0
9,4,84.4,73.4,671.9,3.2,24.3,36,3.1,0,0
6.5,4.5,92.4,117.9,668,12.2,19.3,33.5,6.05,0,19
6,4.5,89.7,90,704.4,4.8,17.8,65.5,1.75,0,0
6.2,5.6,92.46,162.68,405.34,13.04,20.8,49.8,5.72,0.04,0
4.666666667,4.333333333,91.8,110.6,768.2,6.4,17.33333333,48.33333333,2.066666667,0,0
5.666666667,4.333333333,88.63333333,29.73333333,83.9,6,12.86666667,48.33333333,4.766666667,0,12
5.2,4.2,89.42,288.68,852.9,7.14,16.6,58.2,3.84,0,9
4.166666667,4.333333333,94.96666667,218.3333333,691.35,15.21666667,27.33333333,30.83333333,4.1,0,5
3.5,3,88.6,91.8,709.9,7.1,11.8,75.5,6.95,0,30
4,5,86.55,21.7,61,3.45,13.85,41,4.45,0,0
3.6,4.4,93.4,145.34,721.34,9.26,28.86,26.8,2.4,0,1
5.181818182,4.545454545,89.95454545,16.59090909,35.60909091,7.9,12.80909091,39.36363636,5.045454545,0,5
5.333333333,5,87.76666667,32.16666667,75.7,5.4,12.73333333,64.66666667,3.6,0,0
3.6,4.2,94.68,135.36,594.1,17.5,29.26,28.8,4.84,0,2
5,5,84.8,26.45,351.875,4.325,4.775,40,8.375,0,8
6,5.5,96.15,178.3,666.5,15.55,28.6,34,2.45,0,40
6.25,4.25,89.45,38.25,675.2125,6.1,16.3875,40.625,3.4125,0,0
4,5,75.6,22.4,86.25,1.55,16.05,30,2.9,0,0
3.8,4,93.14,78.3,443.28,10.52,22.9,37.2,4.56,0,0
4,3.75,92.1,111.2,654.1,9.6,19.475,41.5,3.675,0,0
5.8,4,92.08,106.84,760.46,8.42,24.14,30.2,2.22,0,0
7.75,5.5,94.25,227.9,708.875,10.675,21.25,50,4.9,0,6
4.5,4.333333333,92.6,154.95,662.45,13.9,22.9,38,2.666666667,0,2
5.25,4.5,91.525,148.725,607.475,11.95,13.6,71.125,4.525,0,0
7.5,3.5,91.25,96.25,214.5,30.4,17.65,61.5,4.25,0,0
5.333333333,4,92.43333333,115.3666667,776.9666667,7.6,19.9,36.66666667,3.9,0,1
5.2,4.6,92.72,101.52,517.88,10.72,22.38,36.8,5.54,0,0
2,2,91.6,248.4,753.8,6.3,20.4,56,2.2,0,0
7,4,91.8,175.1,700.7,13.8,21.9,73,7.6,1,0
5.25,4.5,90.225,269.85,810.85,6.4,22.475,42,3.8,0,12
6,3,79.5,3,106.7,1.1,11.8,31,4.5,0,0
2.833333333,4.166666667,94.46666667,165.7666667,626.7166667,10.93333333,28.75,31.16666667,4.016666667,0,43
5.666666667,4.666666667,91.23333333,132.3666667,812.3333333,7.266666667,13.66666667,52,4.033333333,0,2
3.4,3.6,93.68,231.9,716.7,8.74,24.38,42,3.38,0,0
4,4,91.7,33.3,77.5,9,17.2,21.5,5.4,0,0
3,4,90.21666667,85.55,713.7166667,6.766666667,19.8,45.83333333,3.583333333,0,0
3,5,88.1,25.7,67.6,3.8,14.9,38,2.7,0,0
