MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP
320,128,6000,0,1,12,23
143,1500,6300,0,5,32,30
100,1000,8000,0,2,6,16
140,2000,4000,8,1,20,22
600,768,2000,0,1,1,16
60,4000,16000,64,5,8,93
17,4000,16000,32,6,12,133
330,1000,2000,0,1,2,16
1100,768,2000,0,1,1,13
98,1000,8000,32,2,8,46
900,1000,1000,0,1,2,11
200,512,16000,0,4,32,35
330,1000,4000,0,3,6,22
400,512,3500,4,1,6,40
900,2000,4000,0,3,6,37
225,2000,4000,8,3,6,40
57,4000,16000,1,6,12,132
300,768,4500,0,1,24,45
56,4000,8000,0,1,8,34
38,4000,16000,128,16,32,212
180,262,4000,0,1,3,12
140,1000,16000,16,1,3,138
200,1000,8000,0,1,2,36
240,512,2000,8,1,5,11
17,4000,16000,8,6,12,100
57,4000,24000,64,12,16,237
25,2000,12000,8,1,4,49
116,2000,8000,32,5,28,70
300,768,3000,0,6,24,36
35,8000,32000,64,8,24,370
23,16000,64000,64,16,32,636
40,8000,16000,32,8,16,214
700,384,8000,0,1,1,24
480,96,512,0,1,1,6
140,2000,32000,32,1,54,141
50,2000,16000,24,1,6,80
110,5000,5000,142,8,64,120
75,2000,16000,64,1,38,144
50,2620,10480,30,12,24,63
